"title","field_biblio_auteur_value","field_biblio_editeur_value","field_biblio_pp_value","field_biblio_code_value","field_biblio_collection_value","field_biblio_langues_value","field_biblio_isbn_value","field_biblio_prix_value","filepaths"
"Arcadie ","Miguel Chevalier, Sina avec un texte de Carl Friedrich Schnöder","Ars technica","78 pages","1993-CB-ARCADIE",NULL,"français",NULL,NULL,"sites/default/files/media/images/1992-cp-arcadiemaquette2.png,sites/default/files/media/images/1992-cp-arcadiemaquette1.png"
"Miguel Chevalier - OEnologie","Miguel Chevalier, Eric Audinet","L'horizon chimérique","28 p.","1991-CB-OENOLOGIE","-","Français","-","-","sites/default/files/media/images/1991-cb-oenologie2.jpg,sites/default/files/media/images/1991-cb-oenologie1.jpg"
"Philosophie ","Ouvrage réalisée sous la direction de Laurence Hansen-Løve","Hatier-Paris","591 p.","2001-CB-PHILOSOPHIE",NULL,"Français","2-218-73449-4 (4874178)",NULL,"sites/default/files/media/images/1986-ap-thermographielphil.jpg"
"1 Bit Book: l'imaginaire des mondes virtuels 2012-2015","Miguel Chevalier","Editions Lélia Mordoch, Paris","Parution : Septembre 2015

- 1 LIVRE :
Préface de Lélia Mordoch et texte d’Elisabeth Couturier Graphisme : Studio Demian Conrad Design
28,5 cm x 24,5 cm - 96 pages - Noir et blanc, vernis UV Texte en français et anglais

- 1 Film : “L’imaginaire des mondes virtuels 2012-2015 – Miguel Chevalier”
Réalisateur : Claude Mossessian
46 minutes - Version française et version française sous-titrée anglais
Commentaire de Christine Buci-Glucksmann, philosophe, spécialiste de l'art contemporain.","2015-CB-BITBOOK",NULL,"Version française et version française sous-titrée anglais","978-2-909 138 -24-4","50 euros TTC",NULL
"Arabesques numériques","Manuela de Barros","Institut Français de Marrakech, Marrakech (Maroc)","48 p.","2005-CB-ARABNUM",NULL,"Français/Anglais/Arabe",NULL,NULL,NULL
"Arte Botanica",NULL,"Domaine départemental côtes d'Armor. La Roche Jagu","Catalogue issu à l'occasion de l'exposition \"Arte Botanica\", qui eut lieu dans le Domaine départemental de la Roche Jagu du 11/05/2019 au 06/10/2019.
53 pages.","2019-CB-ARTEBOTANICA",NULL,"Français",NULL,NULL,NULL
"Artistes & Robots","Ouvrage sous la direction de Laurence Betrand Dorléac et Jérôme Neutres","RmnGP","Catalogue issu à l'occasion de l'exposition \"Artistes & Robots\" présentée au Grand Palais, Galeries Nationales, du 5 avril au 9 juillet 2018.","2018-CB-ART&ROB",NULL,"Français","978-2-7118-7109-4","35€",NULL
"Autres natures 2001","Norbert Hillaire","Centre d’Art Moderne Espace Mira Phalaina, Maison Populaire, Montreuil-sous-Bois (France)","9 volets","2001-CB-AUTRESNAT",NULL,"Français",NULL,NULL,NULL
"Crossborders 2007",NULL,"Artmetz, Metz (FRA)","24 p.","2007-CB-CROSSBORDERS",NULL,"Français/Anglais",NULL,NULL,NULL
"De l'analogique au numérique","Miguel Chevalier avec un texte de Rosanna Albertini \"Le chevalier des nombres\"","Musées d'art et d'histoire de Belfort","Catalogue réalisé à l'occasion de l'exposition \"De l'analogique au numérique\" au Musées d'art et d'histoire de Belfort, 1992","1992-CB-ANALOGNUM","-","français/anglais/italien","-","-",NULL
"Digital Abysses 2018","Miguel Chevalier","Miguel Chevalier","44 p.","2018-CB-DIGITAB",NULL,"Français",NULL,NULL,NULL
"Fractal Flowers 2009","Cemren Altan, Pierre-Yves Desaive","iMAL, Bruxelles (BEL)","64 p.","2009-CB-FRACTALFLOWERS","-","Français/Anglais","-","-",NULL
"Géométrie dans l'espace","Françoise Paviot","Topographie de l'art","64 p.","2017-CB-GEOMETRIEDANSLESPACE",NULL,"Français","978-2-36669-029-3",NULL,NULL
"Géométrie hors limites","Alain Rouquié, Jessica Nussenbaum, Catherine Topali, Colette et Jean Cherqui, Serge Lemoine, Laurent Salomé, Domitille d'Orgeval, Matthieu Poirier","Maison de l'Amérique latine","245 p.","2010-CB-GEOMETRIEHORSLIMITES","-","anglais/français","978-88-7439-542-2","39€",NULL
"Géométries éclairées","Hélios Sabaté Beriain","Rougier V. éd.","Revue \"ficelle\" n.127, décembre 2016; 38 p.","2017-CB-GEOMETRIESECLAIREES(R)","poésie cristallographique","Français","979-10-93019-27-7","9€",NULL
"Herbarius 2059 / 12 Graines","Jean-Pierre Balpe","Bernard Esposito (Librairie de Sèvres),  Serge Plantureux (Rhinoceros jr), Paris (France)","48 p.","2009-CB-HERB12GRAINES",NULL,"Français","978-284940-059-3",NULL,NULL
"Illusion Natur","Sous la direction de Ina Fuchs","Museum Sinclair-Haus","20 pages","2019-CB-ILLUSIONNATUR",NULL,"Allemand",NULL,NULL,NULL
"Images numériques","Sous la direction de Odil Blin et Jacques Sauvageot","Diffusion Presses Universitaires de Rennes - Distique, Ecole régionale des beaux-arts de Rennes","160 pages","1997-CB-IMAGESNUMERIQUES",NULL,"Français","2-908373-17-3","150 francs",NULL
"Impression 3D","François Brument, Maëlle Campagnolie","Dunod","La bague de Miguel Chevalier Voxels Filaires est présentée à la page 39.","2016-CB-IMPRESSION3D","Les actus du savoir","Français",9782100746842,NULL,NULL
"In/Out ","Miguel Chevalier","Voxels Productions/Paris","40 p.","2017-CB-IN/OUTPARADISARTIFICIELS",NULL,"Français/Anglais",NULL,NULL,NULL
"L'algorithme pixélisé","Miguel Chevalier","Editions Jannink, Paris (France)","48 p.
Chaque ouvrage est accompagné d'une estampe numérique se trouvant sur le CD-ROM intéractif signé par l'artiste et inclus dans le livre. ","2003-CB-ALGOPIX",NULL,"Français",NULL,NULL,NULL
"L'herbier","Jean-Pierre Balpe; Miguel Chevalier","Editions Gallimard - Musée de la Chasse et de la Nature","72 p.
","2009-CB-LHERBIER","GALLIMARD - LE PROMENEUR","Français","978-2-07-012711-5","16 euro",NULL
"Le temps fractal","Textes de Henri-François Debailleux et Christine Buci-Glucksmann","Galerie Xippas","Paru à l'occasion de l'exposition Le temps fractal 17/06/2000-29/07/2000 à la Galerie Xippas.","2000-CB-TEMPSFRACTAL",NULL,"Français","2-909061-21-3",NULL,NULL
"Magie der Zahl","Ina Conzen, Dietmar Guderian, Stefan Heinlein, Helga de la Motte-Haber, Jérôme Peignot, Karl Riha","Verlag Gerd Hatje","Catalogue paru à l'occasion de l'exposition \"Magie der Zahl in der Kunst des 20. Jahrhunderts\" près de la Staatsgalerie Stuttgart du premier février au 19 mai 1997.","1997-CB-MAGIEDERZAHL","-","Allemand","3-7757-0666-6","-",NULL
"Marine","Miguel Chevalier","Ecole Régionale des Beaux-Artes de Nantes","30 p.","1991-CB-MARINE",NULL,"Français",NULL,NULL,NULL
"Méta-Territoires 2015","Patrick Amine","Galerie Fernand Léger","32 p.","2015-CB-IVRYLEGER",NULL,"Français","978-2-9542753-9-0",NULL,NULL
"Miguel Chevalier - Anthropométrie","Vittorio Fagone","Galleria Vivita","32 p.","1990-CB-ANTHROPOMETRIE","-","italien/anglais","-","-",NULL
"Miguel Chevalier - CD ROM MAC/PC","Christine Buci-Gluksmann","Miguel Chevalier, Paris (France)","Cd-Rom et livret 16 p.; 
Cd-Rom Claude Micheli (SDI)","2000-CB-CDROMMAC/PC",NULL,"Français/Anglais",NULL,NULL,NULL
"Miguel Chevalier - Images nouvelles","Miguel Chevalier","Granit","40 p.","1987-CB-IMAGESNOUVELLES",NULL,"Français/Anglais",NULL,NULL,NULL
"Miguel Chevalier - Interconnexions","Miguel Chevalier, Patrick Imbard, Alain Renaud; graphisme Eric Palliet","Miguel Chevalier, Eric Palliet","Ce catalogue a été réalisé à l'occasion de l'exposition \"Interconnexions\" à la Base, avec le concours de la Banque de l'Union Occidentale.

23 p.","1990-CB-INTERCONNEXIONS","-","Français/Anglais","-","-",NULL
"Miguel Chevalier - L'oeil de la machine 2019","Miguel Chevalier","Musée Ingres Bourdelle","48 p.","2019-CB-OEILMACHINE",NULL,"Français/Anglais",NULL,NULL,NULL
"Miguel Chevalier - Segunda Natureza 2009","Miguel Chevalier","TCU, Espaço Cultural Marcantonio Vilaça","64 p.","2009-CB-SEGUNDANATUREZA",NULL,"Portugais/Francais",NULL,NULL,NULL
"Miguel Chevalier 1981/2000","Pierre Restany, Laurence Bertrand-Dorléac, Patrick Imbard","Flammarion, Paris (FRA)","240 p.","2001-CB-CHEV1981/2000",NULL,"Français","2-08010-413-6",NULL,NULL
"Miguel Chevalier 2000/2008","Mario Costa, Edmond Couchot, Gunnar B. Kvaran, Ariella Masboungi, Mohamed Rachdi","Monografik Editions","368 p.","2008-CB-CHEV2000/2008",NULL,"Français","978-2-916545-58-5",NULL,NULL
"Miguel Chevalier, Pixels Power 2010",NULL,"Galerie Antonio Prates, Lisbonne (Portugal)","24 p.","2010-CB-PIXELSPOWER",NULL,"Portugais/Anglais",NULL,NULL,NULL
"Nouvelles de l'estampe",NULL,"Bibliothèque nationale de France","Numéro spécial 1999/2000 Décembre 1999 - Février 2000 N°167-8","1999/2000-CB-NOUVELLESDELESTAMPE",NULL,"Français",NULL,NULL,NULL
"Otra Natura","Jorge Morales ","AFAA Association Française d'Action Artistique","8 pages","1996-CB-OTRANATURA",NULL,"Espagnol",NULL,NULL,NULL
"Paradies artificiels 2014","Miguel Chevalier; graphiste: Régis Glaas",NULL,"48 p.","2014-CB-PARART",NULL,"Français",NULL,NULL,NULL
"Paradis artificiel / sur natures 2007",NULL,"Galerie des Galeries Lafayette, Paris (France)","24 p.","2007-CB-PARART/SURNAT",NULL,"Français/Anglais",NULL,NULL,NULL
"Paradis artificiels - Miguel Chevalier","Françoise Gaillard","Galerie Municipale de Vitry-sur-Seine (France)","48 p.
","2004-CB-PARADISARTIFICIELS",NULL,"Français/Anglais",NULL,NULL,NULL
"Phase zéro/","Divers auteurs","Observatoire de l'espace/CNES","96 p.","2009-CB-PHASEZERO",NULL,"Français","978-2-85440-013-7","25 euros",NULL
"Pixels en vitrine","Olivier Namias","CREE","Article de deux pages (pp.90/91) paru dans la revue \"Cree\", n°382, été 2017","2017-CB-PIXELSENVITRINE",NULL,"Français",NULL,"24 euro",NULL
"Power Pixels (Enghien-les-Bains)","Serge Fauchereau, David Rosenberg","Centre des arts, Enghien-les-Bains (France)","168 p.","2013-CB-POWPIXELSELB",NULL,"Français/Anglais","978-2-916639-32-1",NULL,NULL
"Power Pixels (Rio de Janeiro)",NULL,"Aeroplano","176 p.","2011-CB-POWPIXELSBRE",NULL,"Portugais/Francais","978-85-7820-065-7",NULL,NULL
"Power Pixels 2013","Miguel Chevalier; graphiste: Régis Glaas",NULL,"20 p.","2013-CB-POWPIXELSPITT",NULL,"Anglais",NULL,NULL,NULL
"Power Pixels 2013 (Saint-Gervais)","Miguel Chevalier; graphiste: Régis Glaas","Miguel Chevalier","48 p.","2013-CB-POWPIXELSSGLB",NULL,"Français/Anglais",NULL,NULL,NULL
"Power Pixels 2014","Miguel Chevalier; graphiste: Régis Glaas",NULL,"48 p.","2014-CB-POWPIXELSNOR",NULL,"Anglais",NULL,NULL,NULL
"Power Pixels 2016","Miguel Chevalier; graphiste: Régis Glaas ","Miguel Chevalier","Livret publié à l'occasion de l'installation \"Voûtes célestes\" de Miguel Chevalier dans l'église de Saint-Eustache à Paris lors de la Nuit blanche 2016.","2016-CB-POWPIXELS(ST.E)","-","français/anglais","-","-",NULL
"Red Desert","Sofia Komarova, Lorenzo Sonognini, Nathalie Heinich, Flaminia Scauso, Massimo Minini avec une interview de Ariane Koek à Miguel Chevalier","Artvera's Gallery","152 pages","2016-CB-REDDESERT","-","anglais",9788898570065,"-",NULL
"Seconde nature","Charles Bové, Miguel Chevalier","a.p.r.è.s éditions","80 p.","2011-CB-SECONDENAT",NULL,"Français/Anglais","978-2-95288-975-9",NULL,NULL
"Seconde nature 2007",NULL,"Mairie de Trelazé, Trelazé (France)","64 p.","2007-CB-SECONDENAT",NULL,"Français","2-9502371-5-0",NULL,NULL
"Sur-natures 2007",NULL,"Lcl, Paris (France)","24 p.","2007-CB-SURNATURES",NULL,"Français",NULL,NULL,NULL
"Tempting ART","Maurizio Galante & Tal Lancman, Stefano Core, Anna Loporcaro","Mudam Luxembourg","60 p., 23 cartes postales avec les oeuvres des différents artistes.
","2016-CB-TEMPTINGART","-","anglais/italien/français","978-2-919923-59-5","19€",NULL
"The Metamorphoses of the Virtual","Christine Buci-Glucksmann, Celina Jeffrey, Ryan Jordan, Jonathan Kemp, Philippe Piguet, David Rosenberg, Kjetil Røed, Roberta Semeraro","Pia MYworLD/MYworLD Studios, Paris","112 pages","2013-CB-METAMORPHOSES","-","anglais","-","-",NULL
"Turbulences","David Rosenberg, Pierre Sterckx, Jean-Pierre Luminet, ","Espace culturel Louis Vuitton","56 pages","2012-CB-TURBULENCES","-","français/anglais","-","-",NULL
"Ultra-nature 2006",NULL,"Woodstreet Galleries, Pittsburg (USA)","24 p.","2006-CB-ULTRANAT",NULL,"Anglais",NULL,NULL,NULL
